controller,joint,setpoint_deg,final_value_deg,rise_time_10_90_s,rise_time_0_100_s,delay_time_s,settling_time_2pct_s,settling_time_5pct_s,percent_overshoot,peak_time_s,peak_value_deg,steady_state_error_deg
PID-Only,J1,45.0,45.0913,0.09998877146315127,0.12582943699060917,0.08491310433549312,0.8,0.56,30.527,0.24,58.7371,0.091273
PID-Only,J2,45.0,44.0732,0.10119060124832413,0.1278077168992942,0.08515452258431346,,0.6,26.5578,0.24,56.951,0.926795
PID-Only,J3,45.0,44.1375,0.10455695357626862,0.13353637788288913,0.08952136465361976,7.0,0.62,29.2611,0.24,58.1675,0.862512
PID-Only,J4,45.0,45.119,0.1326624041322102,0.1749478942608035,0.10828733030039084,0.72,0.46,21.6407,0.3,54.7383,0.11903
PID-Only,J5,45.0,45.1241,0.12269021833771887,0.15922369996293909,0.0925993523084101,0.42,0.38,13.4299,0.26,51.0435,0.124139
PID-Only,J6,45.0,45.128,0.14038167532916274,0.18629051582632425,0.1129550058189174,0.72,0.48,19.7366,0.32,53.8815,0.127954
PID+TD3,J1,45.0,45.0967,0.0996656265186998,0.12527456003689358,0.08476055761681457,0.78,0.56,31.5079,0.24,59.1785,0.09668
PID+TD3,J2,45.0,44.0728,0.10089233207241714,0.12730070751448688,0.08503755329415996,,0.6,27.4405,0.24,57.3482,0.927188
PID+TD3,J3,45.0,44.1139,0.10498663882696513,0.1341371883647477,0.0895171612881501,7.4,0.62,28.141,0.24,57.6635,0.886089
PID+TD3,J4,45.0,45.1373,0.13372567545744177,0.17674339440097445,0.10869456495665723,0.68,0.46,20.2545,0.3,54.1145,0.137346
PID+TD3,J5,45.0,45.1274,0.12182806228033793,0.15755183075186122,0.09225074686847279,0.44,0.4,14.7002,0.26,51.6151,0.127426
PID+TD3,J6,45.0,45.1662,0.14196580673486411,0.18901864831734763,0.11347084480372077,0.68,0.46,18.1026,0.32,53.1462,0.16616
